"","SEX","age2","ftyr","inc_bucket","college","race2","marital_status","urbanicity","total"
"1","Male","Gen X","full-time year-round worker","upper_middle_income","non-college","White","Married","suburban",1996105
"2","Female","Boomers","not ftyr","middle_income","non-college","White","Married","suburban",1895279
"3","Male","Boomers","full-time year-round worker","upper_middle_income","non-college","White","Married","suburban",1657581
"4","Female","Silent","not ftyr","low_income","non-college","White","Divorced/separated/widowed","suburban",1576141
"5","Female","Boomers","not ftyr","upper_middle_income","non-college","White","Married","suburban",1538803
"6","Male","Gen X","full-time year-round worker","upper_middle_income","college","White","Married","suburban",1499886
"7","Male","Boomers","not ftyr","middle_income","non-college","White","Married","suburban",1412001
"8","Male","Gen X","full-time year-round worker","high_income","college","White","Married","suburban",1363753
"9","Female","Boomers","not ftyr","middle_income","non-college","White","Married","rural",1295213
"10","Female","Gen X","full-time year-round worker","upper_middle_income","non-college","White","Married","suburban",1219145
"11","Male","Silent","not ftyr","middle_income","non-college","White","Married","suburban",1192413
"12","Male","Boomers","full-time year-round worker","high_income","college","White","Married","suburban",1178113
"13","Female","Boomers","full-time year-round worker","upper_middle_income","non-college","White","Married","suburban",1057039
"14","Female","Boomers","not ftyr","low_income","non-college","White","Divorced/separated/widowed","suburban",1052762
"15","Male","Gen X","full-time year-round worker","upper_middle_income","non-college","White","Married","rural",1039084
"16","Male","Boomers","not ftyr","middle_income","non-college","White","Married","rural",1033005
"17","Female","Silent","not ftyr","middle_income","non-college","White","Married","suburban",1032971
"18","Female","Gen X","full-time year-round worker","upper_middle_income","college","White","Married","suburban",1007539
"19","Male","Boomers","full-time year-round worker","upper_middle_income","college","White","Married","suburban",1001062
"20","Female","Gen X","not ftyr","upper_middle_income","non-college","White","Married","suburban",967553
"21","Male","Boomers","not ftyr","upper_middle_income","non-college","White","Married","suburban",965029
"22","Female","Silent","not ftyr","low_income","non-college","White","Divorced/separated/widowed","rural",951035
"23","Female","Silent","not ftyr","middle_income","non-college","White","Divorced/separated/widowed","suburban",931446
"24","Female","Boomers","not ftyr","upper_middle_income","college","White","Married","suburban",927525
"25","Male","Millennial","full-time year-round worker","middle_income","non-college","White","Never married","suburban",912915
"26","Male","Gen X","full-time year-round worker","middle_income","non-college","White","Married","suburban",882361
"27","Female","Gen X","full-time year-round worker","high_income","college","White","Married","suburban",876495
"28","Male","Millennial","full-time year-round worker","upper_middle_income","non-college","White","Never married","suburban",840743
"29","Male","Boomers","full-time year-round worker","upper_middle_income","non-college","White","Married","rural",837390
"30","Male","Millennial","full-time year-round worker","upper_middle_income","college","White","Married","suburban",834630
"31","Female","Millennial","full-time year-round worker","upper_middle_income","college","White","Married","suburban",827738
"32","Male","Gen X","full-time year-round worker","upper_middle_income","non-college","Non-white","Married","suburban",825864
"33","Female","Gen X","not ftyr","upper_middle_income","college","White","Married","suburban",819343
"34","Female","Millennial","not ftyr","low_income","non-college","Non-white","Never married","suburban",812836
"35","Male","Millennial","full-time year-round worker","upper_middle_income","non-college","White","Married","suburban",804300
"36","Male","Gen X","full-time year-round worker","middle_income","non-college","Non-white","Married","suburban",784724
"37","Male","Millennial","not ftyr","middle_income","non-college","White","Never married","suburban",783624
"38","Male","Boomers","not ftyr","upper_middle_income","college","White","Married","suburban",778349
"39","Male","Millennial","full-time year-round worker","middle_income","non-college","White","Married","suburban",762055
"40","Female","Millennial","not ftyr","low_income","non-college","Non-white","Never married","urban",752659
"41","Male","Millennial","not ftyr","upper_middle_income","non-college","White","Never married","suburban",752627
"42","Female","Gen X","not ftyr","middle_income","non-college","White","Married","suburban",751106
"43","Female","Boomers","not ftyr","low_income","non-college","White","Divorced/separated/widowed","rural",750499
"44","Female","Boomers","not ftyr","middle_income","non-college","White","Divorced/separated/widowed","suburban",750064
"45","Male","Millennial","full-time year-round worker","middle_income","non-college","Non-white","Never married","suburban",748001
"46","Male","Boomers","full-time year-round worker","middle_income","non-college","White","Married","suburban",738079
"47","Male","Silent","not ftyr","middle_income","non-college","White","Married","rural",732582
"48","Male","Millennial","not ftyr","middle_income","non-college","Non-white","Never married","suburban",717848
"49","Female","Millennial","not ftyr","middle_income","non-college","White","Married","suburban",703249
"50","Male","Gen X","full-time year-round worker","middle_income","non-college","White","Married","rural",702564
"51","Male","Millennial","not ftyr","middle_income","non-college","Non-white","Never married","urban",696158
"52","Male","Millennial","full-time year-round worker","middle_income","non-college","Non-white","Never married","urban",684784
"53","Female","Gen X","full-time year-round worker","upper_middle_income","non-college","White","Married","rural",680832
"54","Female","Millennial","not ftyr","middle_income","non-college","White","Never married","suburban",656502
"55","Female","Boomers","not ftyr","upper_middle_income","non-college","White","Married","rural",655330
"56","Female","Boomers","not ftyr","high_income","college","White","Married","suburban",635714
"57","Female","Millennial","not ftyr","middle_income","non-college","Non-white","Never married","suburban",635527
"58","Female","Gen X","not ftyr","high_income","college","White","Married","suburban",632066
"59","Male","Gen X","full-time year-round worker","middle_income","non-college","Non-white","Married","urban",620638
"60","Female","Millennial","not ftyr","middle_income","non-college","Non-white","Never married","urban",615889
"61","Male","Boomers","full-time year-round worker","middle_income","non-college","White","Married","rural",608807
"62","Female","Gen X","not ftyr","middle_income","non-college","Non-white","Married","suburban",601914
"63","Female","Millennial","not ftyr","low_income","non-college","White","Never married","suburban",601907
"64","Male","Millennial","not ftyr","low_income","non-college","White","Never married","suburban",597792
"65","Male","Gen Z","not ftyr","upper_middle_income","non-college","White","Never married","suburban",594322
"66","Male","Millennial","full-time year-round worker","upper_middle_income","non-college","Non-white","Never married","urban",589396
"67","Male","Millennial","full-time year-round worker","middle_income","non-college","Non-white","Married","suburban",582071
"68","Male","Gen X","full-time year-round worker","upper_middle_income","non-college","Non-white","Married","urban",581788
"69","Male","Millennial","full-time year-round worker","middle_income","non-college","White","Married","rural",572430
"70","Female","Millennial","not ftyr","upper_middle_income","non-college","White","Never married","suburban",571936
"71","Male","Millennial","not ftyr","low_income","non-college","Non-white","Never married","suburban",571409
"72","Female","Silent","not ftyr","middle_income","non-college","White","Married","rural",570479
"73","Female","Boomers","not ftyr","low_income","non-college","White","Married","suburban",569315
"74","Male","Millennial","full-time year-round worker","upper_middle_income","non-college","Non-white","Never married","suburban",564759
"75","Female","Boomers","full-time year-round worker","middle_income","non-college","White","Divorced/separated/widowed","suburban",562593
"76","Male","Millennial","not ftyr","low_income","non-college","Non-white","Never married","urban",561667
"77","Male","Boomers","not ftyr","low_income","non-college","White","Divorced/separated/widowed","suburban",560606
"78","Female","Boomers","full-time year-round worker","upper_middle_income","college","White","Married","suburban",556070
"79","Female","Boomers","full-time year-round worker","high_income","college","White","Married","suburban",545767
"80","Female","Gen X","not ftyr","middle_income","non-college","White","Married","rural",542077
"81","Female","Millennial","not ftyr","middle_income","non-college","Non-white","Married","suburban",532445
"82","Female","Boomers","not ftyr","low_income","non-college","White","Married","rural",530154
"83","Female","Gen X","full-time year-round worker","upper_middle_income","non-college","Non-white","Married","suburban",529642
"84","Female","Millennial","full-time year-round worker","middle_income","non-college","White","Never married","suburban",529578
"85","Female","Gen Z","not ftyr","upper_middle_income","non-college","White","Never married","suburban",527690
"86","Male","Gen X","full-time year-round worker","high_income","college","White","Married","urban",519182
"87","Female","Millennial","full-time year-round worker","middle_income","non-college","Non-white","Never married","suburban",512268
"88","Female","Boomers","full-time year-round worker","upper_middle_income","non-college","White","Married","rural",511957
"89","Female","Boomers","not ftyr","middle_income","non-college","Non-white","Married","suburban",508931
"90","Male","Boomers","not ftyr","middle_income","college","White","Married","suburban",504306
"91","Female","Boomers","not ftyr","low_income","non-college","Non-white","Divorced/separated/widowed","suburban",504180
"92","Female","Gen X","not ftyr","middle_income","non-college","Non-white","Married","urban",496492
"93","Male","Boomers","full-time year-round worker","high_income","non-college","White","Married","suburban",494940
"94","Female","Millennial","not ftyr","middle_income","non-college","White","Married","rural",491367
"95","Male","Gen X","full-time year-round worker","upper_middle_income","college","Non-white","Married","suburban",489836
"96","Female","Boomers","not ftyr","low_income","non-college","Non-white","Divorced/separated/widowed","urban",484278
"97","Female","Boomers","not ftyr","middle_income","college","White","Married","suburban",482300
"98","Female","Millennial","full-time year-round worker","upper_middle_income","non-college","White","Married","suburban",481828
"99","Male","Millennial","not ftyr","upper_middle_income","non-college","Non-white","Never married","suburban",481418
"100","Female","Boomers","full-time year-round worker","middle_income","non-college","White","Married","suburban",481342
"101","Female","Gen X","full-time year-round worker","middle_income","non-college","White","Divorced/separated/widowed","suburban",478072
"102","Female","Silent","not ftyr","low_income","non-college","White","Divorced/separated/widowed","urban",477500
"103","Male","Gen X","full-time year-round worker","high_income","non-college","White","Married","suburban",476734
"104","Female","Millennial","not ftyr","upper_middle_income","college","White","Married","suburban",476456
"105","Male","Boomers","not ftyr","low_income","non-college","White","Divorced/separated/widowed","rural",474835
"106","Male","Boomers","not ftyr","low_income","non-college","White","Married","suburban",469508
"107","Male","Boomers","not ftyr","low_income","non-college","White","Married","rural",464411
"108","Male","Boomers","not ftyr","middle_income","non-college","White","Divorced/separated/widowed","suburban",463298
