"","puma","PUMAname","simple_density","logged_density","hholds"
"1","3603805","NYC-Manhattan Community District 8--Upper East Side",72760.4349904365,65707.6264570042,115452
"2","3603806","NYC-Manhattan Community District 7--Upper West Side & West Side",57097.0917811046,55424.6620001583,97828
"3","3603808","NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town",58041.0758342988,54456.7755137486,80023
"4","3603809","NYC-Manhattan Community District 3--Chinatown & Lower East Side",44868.8549734862,43258.7788594305,72316
"5","3603801","NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill",45256.6190379644,40688.7059420315,75738
"6","3603803","NYC-Manhattan Community District 10--Central Harlem",40652.1423902622,39316.4762511643,56174
"7","3603807","NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District",43616.0424646927,36877.8478394408,85583
"8","3603804","NYC-Manhattan Community District 11--East Harlem",38989.8910889472,35801.8555965928,49573
"9","3603810","NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho",39032.7622663243,35371.8073342511,78396
"10","3603802","NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem",37101.4946262531,34498.873656183,47262
"11","3603707","NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope",33219.7014216388,32012.6355884911,45284
"12","3603708","NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden",34562.5555627373,31203.0274472103,49026
"13","3603706","NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood",33660.3687318547,31160.3415844976,45122
"14","3604011","NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate",30255.617485983,27810.0362621333,41684
"15","3604107","NYC-Queens Community District 4--Elmhurst & South Corona",32500.8937867359,27080.1921860362,42593
"16","3604006","NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights",26947.5521101587,25643.9832490528,53347
"17","3604003","NYC-Brooklyn Community District 3--Bedford-Stuyvesant",25088.1991344081,24020.8392601444,51795
"18","3604004","NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene",25677.9210879359,23660.5113640309,58501
"19","3604015","NYC-Brooklyn Community District 14--Flatbush & Midwood",27215.9163576973,23382.9267044291,57372
"20","3604108","NYC-Queens Community District 6--Forest Hills & Rego Park",26873.0463566374,23042.8094714994,51656
"21","3604002","NYC-Brooklyn Community District 4--Bushwick",24454.1093371479,22862.1921104263,45983
"22","3603705","NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont",25070.4611865591,22210.4588255993,57417
"23","3604001","NYC-Brooklyn Community District 1--Greenpoint & Williamsburg",23849.4616950675,21308.0511030117,64499
"24","3604005","NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook",23582.1437752251,21201.0702825183,49207
"25","3604012","NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace",22659.7523954958,21078.5553189598,45562
"26","3604102","NYC-Queens Community District 3--Jackson Heights & North Corona",23868.5642251267,20770.4734639354,53866
"27","3603710","NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose",24494.6703175931,20474.7759830004,50736
"28","3604101","NYC-Queens Community District 1--Astoria & Long Island City",22669.7725641596,20295.7299229431,72618
"29","1703525","Chicago City (Central)--Near North Side, Loop & Near South Side",25174.0147004078,20170.0676457228,87804
"30","3603709","NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester",24135.8780662624,19824.4012713788,64833
"31","0607502","San Francisco County (North & East)--North Beach & Chinatown",22943.4215421885,19419.9382604781,59323
"32","3604007","NYC-Brooklyn Community District 16--Brownsville & Ocean Hill",20372.441103918,18927.2987931315,44741
"33","3400702","Hudson County (Northeast)--Union City & Hoboken Cities",20500.8424381735,18803.3353343799,54594
